"item";"classe";"slot";"familia";"tier";"raridade";"mapa";"caracteristicasDoItem";"materiaisGatheringAtuais";"qtdMateriaisGatheringAtuais";"problemasAtuais";"proposta3Materiais";"materiaisMantidos";"materiaisAdicionados"
"Traje de Ala Isolada";"Assassino";"ARMOR";"Traje";"3";"UNCOMMON";"Hospital Santa Ruína";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Acolchoado de Maca (Patrulha T3 Pernas) + Monitor Portátil Quebrado";"2";"usa 2 material(is) de gathering; alvo: 3";"Acolchoado de Maca (Patrulha T3 Pernas) + Monitor Portátil Quebrado + Avental Hospitalar Grosso";"Acolchoado de Maca (Patrulha T3 Pernas), Monitor Portátil Quebrado";"Avental Hospitalar Grosso"
"Traje de Terminal Oculto";"Assassino";"ARMOR";"Traje";"4";"UNCOMMON";"Terminal dos Esquecidos";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Porta-cartuchos de Bagagem + Leitor de Embarque Falho";"2";"usa 2 material(is) de gathering; alvo: 3";"Porta-cartuchos de Bagagem + Leitor de Embarque Falho + Forro de Assento Rasgado";"Porta-cartuchos de Bagagem, Leitor de Embarque Falho";"Forro de Assento Rasgado"
"Traje de Quarentena Furtiva";"Assassino";"ARMOR";"Traje";"5";"RARE";"Zona de Quarentena 9";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Acolchoado Antimordida (Patrulha T5 Pernas) + Módulo de Alarme Verde";"2";"usa 2 material(is) de gathering; alvo: 3";"Acolchoado Antimordida (Patrulha T5 Pernas) + Módulo de Alarme Verde + Colete Antimordida Rasgado";"Acolchoado Antimordida (Patrulha T5 Pernas), Módulo de Alarme Verde";"Colete Antimordida Rasgado"
"Traje de Refinaria Sombria";"Assassino";"ARMOR";"Traje";"6";"RARE";"Refinaria do Pó Cinzento";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Avental Antióleo Reforçado + Medidor de Pressão Queimado";"2";"usa 2 material(is) de gathering; alvo: 3";"Avental Antióleo Reforçado + Medidor de Pressão Queimado + Avental de Borracha Carbonizado (Coleta T6 Armadura)";"Avental Antióleo Reforçado, Medidor de Pressão Queimado";"Avental de Borracha Carbonizado (Coleta T6 Armadura)"
"Traje Antimotim Sombrio";"Assassino";"ARMOR";"Traje";"7";"EPIC";"Avenida dos Caídos";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Colete Tático Rasgado (Patrulha T7 Armadura) + Placa de Sensor Roxa";"2";"usa 2 material(is) de gathering; alvo: 3";"Colete Tático Rasgado (Patrulha T7 Armadura) + Placa de Sensor Roxa + Placa Antimotim Recortada (Desmanche T7 Armadura)";"Colete Tático Rasgado (Patrulha T7 Armadura), Placa de Sensor Roxa";"Placa Antimotim Recortada (Desmanche T7 Armadura)"
"Traje Helix de Infiltração";"Assassino";"ARMOR";"Traje";"8";"EPIC";"Complexo Helix";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Revestimento de Polímero Helix (Patrulha T8 Armadura) + Interface de Camuflagem Helix";"2";"usa 2 material(is) de gathering; alvo: 3";"Revestimento de Polímero Helix (Patrulha T8 Armadura) + Interface de Camuflagem Helix + Revestimento de Polímero Helix (Coleta T8 Armadura)";"Revestimento de Polímero Helix (Patrulha T8 Armadura), Interface de Camuflagem Helix";"Revestimento de Polímero Helix (Coleta T8 Armadura)"
"Traje Titânico da Necrópole";"Assassino";"ARMOR";"Traje";"9";"LEGENDARY";"Necrópole Industrial";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Fibra de Compressão Pesada (Patrulha T9 Pés) + Núcleo Necrótico Carmesim";"2";"usa 2 material(is) de gathering; alvo: 3";"Fibra de Compressão Pesada (Patrulha T9 Pés) + Núcleo Necrótico Carmesim + Malha de Fibra Pesada (Coleta T9 Armadura)";"Fibra de Compressão Pesada (Patrulha T9 Pés), Núcleo Necrótico Carmesim";"Malha de Fibra Pesada (Coleta T9 Armadura)"
"Traje da Ruína Silenciosa";"Assassino";"ARMOR";"Traje";"10";"LEGENDARY";"Marco Zero";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Envoltório de Fibra Escarlate + Núcleo de Ocultação Final";"2";"usa 2 material(is) de gathering; alvo: 3";"Envoltório de Fibra Escarlate + Núcleo de Ocultação Final + Manta de Fibra Rubra (Coleta T10 Armadura)";"Envoltório de Fibra Escarlate, Núcleo de Ocultação Final";"Manta de Fibra Rubra (Coleta T10 Armadura)"
"Perneiras de Jeans Cortado";"Assassino";"PANTS";"Perneiras";"1";"COMMON";"Subúrbio Silencioso";"joelheira, calca, jeans, cinto, retalho, tala, bolso, fita";"Retalho de Jeans Ajustado + Prego Afiado de Cerca";"2";"usa 2 material(is) de gathering; alvo: 3";"Retalho de Jeans Ajustado + Prego Afiado de Cerca + Retalho de Jeans Grosso";"Retalho de Jeans Ajustado, Prego Afiado de Cerca";"Retalho de Jeans Grosso"
"Perneiras de Oficina Enferrujada";"Assassino";"PANTS";"Perneiras";"2";"COMMON";"Distrito da Ferrugem";"joelheira, calca, jeans, cinto, retalho, tala, bolso, fita";"Bainha de Uniforme Escura + Ponta de Chave de Fenda";"2";"usa 2 material(is) de gathering; alvo: 3";"Bainha de Uniforme Escura + Ponta de Chave de Fenda + Bainha de Uniforme Gasta (Coleta T2 Pernas)";"Bainha de Uniforme Escura, Ponta de Chave de Fenda";"Bainha de Uniforme Gasta (Coleta T2 Pernas)"
"Perneiras de Maca Silenciosa";"Assassino";"PANTS";"Perneiras";"3";"UNCOMMON";"Hospital Santa Ruína";"joelheira, calca, jeans, cinto, retalho, tala, bolso, fita";"Acolchoado de Maca Fino + Lâmina de Tesoura Clínica";"2";"usa 2 material(is) de gathering; alvo: 3";"Acolchoado de Maca Fino + Lâmina de Tesoura Clínica + Acolchoado de Maca (Coleta T3 Pernas)";"Acolchoado de Maca Fino, Lâmina de Tesoura Clínica";"Acolchoado de Maca (Coleta T3 Pernas)"
"Perneiras de Passageiro Oculto";"Assassino";"PANTS";"Perneiras";"4";"UNCOMMON";"Terminal dos Esquecidos";"joelheira, calca, jeans, cinto, retalho, tala, bolso, fita";"Tapete de Embarque Desfiado (Patrulha T4 Pernas) + Ponta de Canivete Quebrado";"2";"usa 2 material(is) de gathering; alvo: 3";"Tapete de Embarque Desfiado (Patrulha T4 Pernas) + Ponta de Canivete Quebrado + Tapete de Embarque Desfiado (Coleta T4 Pernas)";"Tapete de Embarque Desfiado (Patrulha T4 Pernas), Ponta de Canivete Quebrado";"Tapete de Embarque Desfiado (Coleta T4 Pernas)"
"Perneiras de Quarentena Leve";"Assassino";"PANTS";"Perneiras";"5";"RARE";"Zona de Quarentena 9";"joelheira, calca, jeans, cinto, retalho, tala, bolso, fita";"Acolchoado Antimordida Leve + Dardo de Contenção Verde";"2";"usa 2 material(is) de gathering; alvo: 3";"Acolchoado Antimordida Leve + Dardo de Contenção Verde + Acolchoado Antimordida (Coleta T5 Pernas)";"Acolchoado Antimordida Leve, Dardo de Contenção Verde";"Acolchoado Antimordida (Coleta T5 Pernas)"
"Perneiras de Cinza Industrial";"Assassino";"PANTS";"Perneiras";"6";"RARE";"Refinaria do Pó Cinzento";"joelheira, calca, jeans, cinto, retalho, tala, bolso, fita";"Relé de Refinaria + Faca de Manutenção Queimada";"2";"usa 2 material(is) de gathering; alvo: 3";"Relé de Refinaria + Faca de Manutenção Queimada + Avental de Borracha Carbonizado (Coleta T6 Pernas)";"Relé de Refinaria, Faca de Manutenção Queimada";"Avental de Borracha Carbonizado (Coleta T6 Pernas)"
"Perneiras de Patrulha Mutagênica";"Assassino";"PANTS";"Perneiras";"7";"EPIC";"Avenida dos Caídos";"joelheira, calca, jeans, cinto, retalho, tala, bolso, fita";"Joelheira Tática Rasgada (Patrulha T7 Pernas) + Espinho Balístico Roxo";"2";"usa 2 material(is) de gathering; alvo: 3";"Joelheira Tática Rasgada (Patrulha T7 Pernas) + Espinho Balístico Roxo + Joelheira Paramédica Rasgada";"Joelheira Tática Rasgada (Patrulha T7 Pernas), Espinho Balístico Roxo";"Joelheira Paramédica Rasgada"
"Perneiras Articuladas Helix";"Assassino";"PANTS";"Perneiras";"8";"EPIC";"Complexo Helix";"joelheira, calca, jeans, cinto, retalho, tala, bolso, fita";"Polímero Articulado Silencioso + Microserra Helix (Arsenal T8 Pernas)";"2";"usa 2 material(is) de gathering; alvo: 3";"Polímero Articulado Silencioso + Microserra Helix (Arsenal T8 Pernas) + Atuador de Joelho Helix";"Polímero Articulado Silencioso, Microserra Helix (Arsenal T8 Pernas)";"Atuador de Joelho Helix"
"Perneiras Necróticas de Fibra";"Assassino";"PANTS";"Perneiras";"9";"LEGENDARY";"Necrópole Industrial";"joelheira, calca, jeans, cinto, retalho, tala, bolso, fita";"Câmara de Movimento Carmesim + Lâmina Curva Carmesim";"2";"usa 2 material(is) de gathering; alvo: 3";"Câmara de Movimento Carmesim + Lâmina Curva Carmesim + Trama de Fibra Pesada (Coleta T9 Pernas)";"Câmara de Movimento Carmesim, Lâmina Curva Carmesim";"Trama de Fibra Pesada (Coleta T9 Pernas)"
"Perneiras do Marco Zero";"Assassino";"PANTS";"Perneiras";"10";"LEGENDARY";"Marco Zero";"joelheira, calca, jeans, cinto, retalho, tala, bolso, fita";"Módulo de Passo Final + Ponta Rubra do Colapso";"2";"usa 2 material(is) de gathering; alvo: 3";"Módulo de Passo Final + Ponta Rubra do Colapso + Fibra Rubra Articulada (Coleta T10 Pernas)";"Módulo de Passo Final, Ponta Rubra do Colapso";"Fibra Rubra Articulada (Coleta T10 Pernas)"
"Sapatilhas de Pano Escuro";"Assassino";"BOOTS";"Sapatilhas";"1";"COMMON";"Subúrbio Silencioso";"tenis, sola, cordao, palmilha, tecido, borracha, bota, cadaco";"Sola de Tênis Gasto + Pilha de Lanterna Pequena";"2";"usa 2 material(is) de gathering; alvo: 3";"Sola de Tênis Gasto + Pilha de Lanterna Pequena + Palmilha Filtrante Suja";"Sola de Tênis Gasto, Pilha de Lanterna Pequena";"Palmilha Filtrante Suja"
"Sapatilhas de Ferrugem Baixa";"Assassino";"BOOTS";"Sapatilhas";"2";"COMMON";"Distrito da Ferrugem";"tenis, sola, cordao, palmilha, tecido, borracha, bota, cadaco";"Cadarço de Uniforme Gasto (Patrulha T2 Pés) + Sensor de Porta Oxidado";"2";"usa 2 material(is) de gathering; alvo: 3";"Cadarço de Uniforme Gasto (Patrulha T2 Pés) + Sensor de Porta Oxidado + Cadarço de Uniforme Gasto (Coleta T2 Pés)";"Cadarço de Uniforme Gasto (Patrulha T2 Pés), Sensor de Porta Oxidado";"Cadarço de Uniforme Gasto (Coleta T2 Pés)"
"Sapatilhas de Enfermaria Silenciosa";"Assassino";"BOOTS";"Sapatilhas";"3";"UNCOMMON";"Hospital Santa Ruína";"tenis, sola, cordao, palmilha, tecido, borracha, bota, cadaco";"Cobertura Cirúrgica Rasgada (Patrulha T3 Pés) + Sensor de Oxímetro";"2";"usa 2 material(is) de gathering; alvo: 3";"Cobertura Cirúrgica Rasgada (Patrulha T3 Pés) + Sensor de Oxímetro + Cobertura Cirúrgica Rasgada (Coleta T3 Pés)";"Cobertura Cirúrgica Rasgada (Patrulha T3 Pés), Sensor de Oxímetro";"Cobertura Cirúrgica Rasgada (Coleta T3 Pés)"
"Sapatilhas de Esteira Quebrada";"Assassino";"BOOTS";"Sapatilhas";"4";"UNCOMMON";"Terminal dos Esquecidos";"tenis, sola, cordao, palmilha, tecido, borracha, bota, cadaco";"Tapete de Piso Emborrachado (Patrulha T4 Pés) + Chip de Esteira de Bagagem";"2";"usa 2 material(is) de gathering; alvo: 3";"Tapete de Piso Emborrachado (Patrulha T4 Pés) + Chip de Esteira de Bagagem + Manta Isolante de Cabine";"Tapete de Piso Emborrachado (Patrulha T4 Pés), Chip de Esteira de Bagagem";"Manta Isolante de Cabine"
"Sapatilhas de Quarentena Selada";"Assassino";"BOOTS";"Sapatilhas";"5";"RARE";"Zona de Quarentena 9";"tenis, sola, cordao, palmilha, tecido, borracha, bota, cadaco";"Atuador de Corte Sanitário + Detector de Gás Verde";"2";"usa 2 material(is) de gathering; alvo: 3";"Atuador de Corte Sanitário + Detector de Gás Verde + Manguito Antimordida Leve (Coleta T5 Pés)";"Atuador de Corte Sanitário, Detector de Gás Verde";"Manguito Antimordida Leve (Coleta T5 Pés)"
"Sapatilhas de Cinza Silenciosa";"Assassino";"BOOTS";"Sapatilhas";"6";"RARE";"Refinaria do Pó Cinzento";"tenis, sola, cordao, palmilha, tecido, borracha, bota, cadaco";"Condensador de Choque Cinzento + Sensor de Vapor Cinzento";"2";"usa 2 material(is) de gathering; alvo: 3";"Condensador de Choque Cinzento + Sensor de Vapor Cinzento + Sola de Borracha Vulcanizada (Coleta T6 Pés)";"Condensador de Choque Cinzento, Sensor de Vapor Cinzento";"Sola de Borracha Vulcanizada (Coleta T6 Pés)"
"Sapatilhas de Asfalto Mutagênico";"Assassino";"BOOTS";"Sapatilhas";"7";"EPIC";"Avenida dos Caídos";"tenis, sola, cordao, palmilha, tecido, borracha, bota, cadaco";"Microvisor de Campo Roxo + Módulo de Passo Instável";"2";"usa 2 material(is) de gathering; alvo: 3";"Microvisor de Campo Roxo + Módulo de Passo Instável + Reforço de Polímero de Tornozelo (Coleta T7 Pés)";"Microvisor de Campo Roxo, Módulo de Passo Instável";"Reforço de Polímero de Tornozelo (Coleta T7 Pés)"
"Sapatilhas de Tração Helix";"Assassino";"BOOTS";"Sapatilhas";"8";"EPIC";"Complexo Helix";"tenis, sola, cordao, palmilha, tecido, borracha, bota, cadaco";"Atuador de Dosagem Helix + Atuador de Tração Helix";"2";"usa 2 material(is) de gathering; alvo: 3";"Atuador de Dosagem Helix + Atuador de Tração Helix + Cartucho Cerâmico Helix";"Atuador de Dosagem Helix, Atuador de Tração Helix";"Cartucho Cerâmico Helix"
"Sapatilhas de Passo Carmesim";"Assassino";"BOOTS";"Sapatilhas";"9";"LEGENDARY";"Necrópole Industrial";"tenis, sola, cordao, palmilha, tecido, borracha, bota, cadaco";"Condutor Carmesim de Choque + Selo de Marcha Carmesim (Tecnovarredura T9 Pés)";"2";"usa 2 material(is) de gathering; alvo: 3";"Condutor Carmesim de Choque + Selo de Marcha Carmesim (Tecnovarredura T9 Pés) + Calcanhar Titânico Industrial";"Condutor Carmesim de Choque, Selo de Marcha Carmesim (Tecnovarredura T9 Pés)";"Calcanhar Titânico Industrial"
"Sapatilhas do Eclipse Rubro";"Assassino";"BOOTS";"Sapatilhas";"10";"LEGENDARY";"Marco Zero";"tenis, sola, cordao, palmilha, tecido, borracha, bota, cadaco";"Atuador Rubro de Dose Final + Célula Rubra de Silêncio";"2";"usa 2 material(is) de gathering; alvo: 3";"Atuador Rubro de Dose Final + Célula Rubra de Silêncio + Solado Titânico do Marco";"Atuador Rubro de Dose Final, Célula Rubra de Silêncio";"Solado Titânico do Marco"
"Serra de Emergência Quebrada";"Médico";"MAIN_HAND";"Serra";"1";"COMMON";"Subúrbio Silencioso";"serra, corrente, motor, fio, cabo, bateria, seringa, frasco";"Motor de Cortador Quebrado + Antisséptico Vencido";"2";"usa 2 material(is) de gathering; alvo: 3";"Motor de Cortador Quebrado + Antisséptico Vencido + Bateria de Rádio Quebrada";"Motor de Cortador Quebrado, Antisséptico Vencido";"Bateria de Rádio Quebrada"
"Desfibrilador de Rádio Improvisado";"Médico";"MAIN_HAND";"Desfibrilador";"1";"COMMON";"Subúrbio Silencioso";"bateria, fio, eletrodo, placa, circuito, cabo, seringa, frasco";"Bateria de Rádio Quebrada + Eletrodo de Borracha Sujo";"2";"usa 2 material(is) de gathering; alvo: 3";"Bateria de Rádio Quebrada + Eletrodo de Borracha Sujo + Cabo de Madeira Cravado";"Bateria de Rádio Quebrada, Eletrodo de Borracha Sujo";"Cabo de Madeira Cravado"
"Serra de Oficina Médica Oxidada";"Médico";"MAIN_HAND";"Serra";"2";"COMMON";"Distrito da Ferrugem";"serra, corrente, motor, fio, cabo, bateria, seringa, frasco";"Módulo de Serra Oxidado + Cartucho Filtrante Oxidado (Contenção T2 Main Hand)";"2";"usa 2 material(is) de gathering; alvo: 3";"Módulo de Serra Oxidado + Cartucho Filtrante Oxidado (Contenção T2 Main Hand) + Lâmina de Serra Enferrujada";"Módulo de Serra Oxidado, Cartucho Filtrante Oxidado (Contenção T2 Main Hand)";"Lâmina de Serra Enferrujada"
"Desfibrilador de Bobina Enferrujada";"Médico";"MAIN_HAND";"Desfibrilador";"2";"COMMON";"Distrito da Ferrugem";"bateria, fio, eletrodo, placa, circuito, cabo, seringa, frasco";"Bobina de Choque Oxidada + Isolador de Oficina";"2";"usa 2 material(is) de gathering; alvo: 3";"Bobina de Choque Oxidada + Isolador de Oficina + Placa de Oficina Recortada";"Bobina de Choque Oxidada, Isolador de Oficina";"Placa de Oficina Recortada"
"Serra Cirúrgica de Triagem";"Médico";"MAIN_HAND";"Serra";"3";"UNCOMMON";"Hospital Santa Ruína";"serra, corrente, motor, fio, cabo, bateria, seringa, frasco";"Motor Cirúrgico Quebrado + Selo de Isolamento Clínico";"2";"usa 2 material(is) de gathering; alvo: 3";"Motor Cirúrgico Quebrado + Selo de Isolamento Clínico + Pontas de Tesoura Cirúrgica";"Motor Cirúrgico Quebrado, Selo de Isolamento Clínico";"Pontas de Tesoura Cirúrgica"
"Desfibrilador de Leito Clínico";"Médico";"MAIN_HAND";"Desfibrilador";"3";"UNCOMMON";"Hospital Santa Ruína";"bateria, fio, eletrodo, placa, circuito, cabo, seringa, frasco";"Placa de Desfibrilador Rachada + Gel Condutor Vencido";"2";"usa 2 material(is) de gathering; alvo: 3";"Placa de Desfibrilador Rachada + Gel Condutor Vencido + Pé de Suporte Clínico";"Placa de Desfibrilador Rachada, Gel Condutor Vencido";"Pé de Suporte Clínico"
"Serra de Resgate do Terminal";"Médico";"MAIN_HAND";"Serra";"4";"UNCOMMON";"Terminal dos Esquecidos";"serra, corrente, motor, fio, cabo, bateria, seringa, frasco";"Motor de Porta Automática + Isolante de Painel Sanitário";"2";"usa 2 material(is) de gathering; alvo: 3";"Motor de Porta Automática + Isolante de Painel Sanitário + Canivetes de Bagagem";"Motor de Porta Automática, Isolante de Painel Sanitário";"Canivetes de Bagagem"
"Desfibrilador de Cabine de Emergência";"Médico";"MAIN_HAND";"Desfibrilador";"4";"UNCOMMON";"Terminal dos Esquecidos";"bateria, fio, eletrodo, placa, circuito, cabo, seringa, frasco";"Capacitor de Cabine + Lacre de Maleta Médica";"2";"usa 2 material(is) de gathering; alvo: 3";"Capacitor de Cabine + Lacre de Maleta Médica + Placa de Sinalização Cortante";"Capacitor de Cabine, Lacre de Maleta Médica";"Placa de Sinalização Cortante"
"Serra de Contenção Verde";"Médico";"MAIN_HAND";"Serra";"5";"RARE";"Zona de Quarentena 9";"serra, corrente, motor, fio, cabo, bateria, seringa, frasco";"Atuador de Corte Sanitário + Ampola Selante Verde";"2";"usa 2 material(is) de gathering; alvo: 3";"Atuador de Corte Sanitário + Ampola Selante Verde + Bateria de Choque Verde";"Atuador de Corte Sanitário, Ampola Selante Verde";"Bateria de Choque Verde"
"Desfibrilador de Quarentena";"Médico";"MAIN_HAND";"Desfibrilador";"5";"RARE";"Zona de Quarentena 9";"bateria, fio, eletrodo, placa, circuito, cabo, seringa, frasco";"Bateria de Choque Verde + Gel Condutor Tóxico";"2";"usa 2 material(is) de gathering; alvo: 3";"Bateria de Choque Verde + Gel Condutor Tóxico + Placa de Porta Selada";"Bateria de Choque Verde, Gel Condutor Tóxico";"Placa de Porta Selada"
"Serra de Cautério Cinzento";"Médico";"MAIN_HAND";"Serra";"6";"RARE";"Refinaria do Pó Cinzento";"serra, corrente, motor, fio, cabo, bateria, seringa, frasco";"Motor de Cautério Industrial + Pasta Isolante Cinzenta";"2";"usa 2 material(is) de gathering; alvo: 3";"Motor de Cautério Industrial + Pasta Isolante Cinzenta + Chapa de Caldeira Serrada";"Motor de Cautério Industrial, Pasta Isolante Cinzenta";"Chapa de Caldeira Serrada"
"Desfibrilador de Vapor Cinzento";"Médico";"MAIN_HAND";"Desfibrilador";"6";"RARE";"Refinaria do Pó Cinzento";"bateria, fio, eletrodo, placa, circuito, cabo, seringa, frasco";"Condensador de Choque Cinzento + Selo Químico de Vapor";"2";"usa 2 material(is) de gathering; alvo: 3";"Condensador de Choque Cinzento + Selo Químico de Vapor + Luva de Borracha Queimada";"Condensador de Choque Cinzento, Selo Químico de Vapor";"Luva de Borracha Queimada"
"Serra de Resgate Mutagênica";"Médico";"MAIN_HAND";"Serra";"7";"EPIC";"Avenida dos Caídos";"serra, corrente, motor, fio, cabo, bateria, seringa, frasco";"Motor de Resgate Blindado + Cápsula Cerâmica Roxa";"2";"usa 2 material(is) de gathering; alvo: 3";"Motor de Resgate Blindado + Cápsula Cerâmica Roxa + Placa Antimotim Recortada (Desmanche T7 Main Hand)";"Motor de Resgate Blindado, Cápsula Cerâmica Roxa";"Placa Antimotim Recortada (Desmanche T7 Main Hand)"
"Desfibrilador Antimotim";"Médico";"MAIN_HAND";"Desfibrilador";"7";"EPIC";"Avenida dos Caídos";"bateria, fio, eletrodo, placa, circuito, cabo, seringa, frasco";"Núcleo de Choque Policial + Selo Balístico Instável";"2";"usa 2 material(is) de gathering; alvo: 3";"Núcleo de Choque Policial + Selo Balístico Instável + Placa Antimotim Recortada (Desmanche T7 Main Hand)";"Núcleo de Choque Policial, Selo Balístico Instável";"Placa Antimotim Recortada (Desmanche T7 Main Hand)"
"Serra Helix de Microcorte";"Médico";"MAIN_HAND";"Serra";"8";"EPIC";"Complexo Helix";"serra, corrente, motor, fio, cabo, bateria, seringa, frasco";"Microserra Helix (Tecnovarredura T8 Main Hand) + Cápsula de Contenção Helix (Contenção T8 Main Hand)";"2";"usa 2 material(is) de gathering; alvo: 3";"Microserra Helix (Tecnovarredura T8 Main Hand) + Cápsula de Contenção Helix (Contenção T8 Main Hand) + Trama de Polímero Helix (Coleta T8 Main Hand)";"Microserra Helix (Tecnovarredura T8 Main Hand), Cápsula de Contenção Helix (Contenção T8 Main Hand)";"Trama de Polímero Helix (Coleta T8 Main Hand)"
"Desfibrilador Neural Helix";"Médico";"MAIN_HAND";"Desfibrilador";"8";"EPIC";"Complexo Helix";"bateria, fio, eletrodo, placa, circuito, cabo, seringa, frasco";"Atuador Neural de Choque + Módulo Cerâmico Helix (Contenção T8 Main Hand)";"2";"usa 2 material(is) de gathering; alvo: 3";"Atuador Neural de Choque + Módulo Cerâmico Helix (Contenção T8 Main Hand) + Trama de Polímero Helix (Patrulha T8 Main Hand)";"Atuador Neural de Choque, Módulo Cerâmico Helix (Contenção T8 Main Hand)";"Trama de Polímero Helix (Patrulha T8 Main Hand)"
"Serra Necroclínica Carmesim";"Médico";"MAIN_HAND";"Serra";"9";"LEGENDARY";"Necrópole Industrial";"serra, corrente, motor, fio, cabo, bateria, seringa, frasco";"Rotor Titânico Clínico + Núcleo de Vedação Carmesim";"2";"usa 2 material(is) de gathering; alvo: 3";"Rotor Titânico Clínico + Núcleo de Vedação Carmesim + Cano Titânico Carmesim";"Rotor Titânico Clínico, Núcleo de Vedação Carmesim";"Cano Titânico Carmesim"
"Desfibrilador Carmesim da Necrópole";"Médico";"MAIN_HAND";"Desfibrilador";"9";"LEGENDARY";"Necrópole Industrial";"bateria, fio, eletrodo, placa, circuito, cabo, seringa, frasco";"Condutor Carmesim de Choque + Câmara Necrótica Selada";"2";"usa 2 material(is) de gathering; alvo: 3";"Condutor Carmesim de Choque + Câmara Necrótica Selada + Placa Titânica Cortante";"Condutor Carmesim de Choque, Câmara Necrótica Selada";"Placa Titânica Cortante"
"Serra do Marco Zero";"Médico";"MAIN_HAND";"Serra";"10";"LEGENDARY";"Marco Zero";"serra, corrente, motor, fio, cabo, bateria, seringa, frasco";"Lâmina Rubra de Microcorte + Núcleo Rubro de Esterilização (Contenção T10 Main Hand)";"2";"usa 2 material(is) de gathering; alvo: 3";"Lâmina Rubra de Microcorte + Núcleo Rubro de Esterilização (Contenção T10 Main Hand) + Manta de Fibra Saturada (Coleta T10 Main Hand)";"Lâmina Rubra de Microcorte, Núcleo Rubro de Esterilização (Contenção T10 Main Hand)";"Manta de Fibra Saturada (Coleta T10 Main Hand)"
"Desfibrilador do Último Pulso";"Médico";"MAIN_HAND";"Desfibrilador";"10";"LEGENDARY";"Marco Zero";"bateria, fio, eletrodo, placa, circuito, cabo, seringa, frasco";"Lâmina Rubra de Microcorte + Selo Final de Contenção";"2";"usa 2 material(is) de gathering; alvo: 3";"Lâmina Rubra de Microcorte + Selo Final de Contenção + Trança de Fibra Escarlate (Coleta T10 Main Hand)";"Lâmina Rubra de Microcorte, Selo Final de Contenção";"Trança de Fibra Escarlate (Coleta T10 Main Hand)"
"Injetor de Soro Rachado";"Médico";"OFF_HAND";"Injetor";"1";"COMMON";"Subúrbio Silencioso";"seringa, tubo, agulha, frasco, borracha, filtro, bateria, eletrodo";"Circuito de Lanterna Quebrado + Ampola Vazia Suja";"2";"usa 2 material(is) de gathering; alvo: 3";"Circuito de Lanterna Quebrado + Ampola Vazia Suja + Pente de Munição Velho";"Circuito de Lanterna Quebrado, Ampola Vazia Suja";"Pente de Munição Velho"
"Injetor de Oficina Oxidado";"Médico";"OFF_HAND";"Injetor";"2";"COMMON";"Distrito da Ferrugem";"seringa, tubo, agulha, frasco, borracha, filtro, bateria, eletrodo";"Gatilho de Alarme Oxidado + Ampola Selante Oxidada";"2";"usa 2 material(is) de gathering; alvo: 3";"Gatilho de Alarme Oxidado + Ampola Selante Oxidada + Mola de Carregador Oxidada";"Gatilho de Alarme Oxidado, Ampola Selante Oxidada";"Mola de Carregador Oxidada"
"Injetor de Triagem Clínica";"Médico";"OFF_HAND";"Injetor";"3";"UNCOMMON";"Hospital Santa Ruína";"seringa, tubo, agulha, frasco, borracha, filtro, bateria, eletrodo";"Acolchoado de Maca (Coleta T3 Pernas) + Lacre Estéril Amarelado";"2";"usa 2 material(is) de gathering; alvo: 3";"Acolchoado de Maca (Coleta T3 Pernas) + Lacre Estéril Amarelado + Frasco de Anestésico Vazio";"Acolchoado de Maca (Coleta T3 Pernas), Lacre Estéril Amarelado";"Frasco de Anestésico Vazio"
"Injetor de Emergência do Terminal";"Médico";"OFF_HAND";"Injetor";"4";"UNCOMMON";"Terminal dos Esquecidos";"seringa, tubo, agulha, frasco, borracha, filtro, bateria, eletrodo";"Manta de Emergência Desfiada + Cartucho Sanitário de Cabine";"2";"usa 2 material(is) de gathering; alvo: 3";"Manta de Emergência Desfiada + Cartucho Sanitário de Cabine + Cartucho de Sinalização";"Manta de Emergência Desfiada, Cartucho Sanitário de Cabine";"Cartucho de Sinalização"
"Injetor de Quarentena Verde";"Médico";"OFF_HAND";"Injetor";"5";"RARE";"Zona de Quarentena 9";"seringa, tubo, agulha, frasco, borracha, filtro, bateria, eletrodo";"Sensor de Gás Verde (Tecnovarredura T5 Off Hand) + Selante Bioquímico Verde";"2";"usa 2 material(is) de gathering; alvo: 3";"Sensor de Gás Verde (Tecnovarredura T5 Off Hand) + Selante Bioquímico Verde + Pente Selado Verde";"Sensor de Gás Verde (Tecnovarredura T5 Off Hand), Selante Bioquímico Verde";"Pente Selado Verde"
"Injetor de Reagente Cinzento";"Médico";"OFF_HAND";"Injetor";"6";"RARE";"Refinaria do Pó Cinzento";"seringa, tubo, agulha, frasco, borracha, filtro, bateria, eletrodo";"Avental de Borracha Carbonizado (Coleta T6 Armadura) + Cápsula Química Ressecada";"2";"usa 2 material(is) de gathering; alvo: 3";"Avental de Borracha Carbonizado (Coleta T6 Armadura) + Cápsula Química Ressecada + Mola Industrial Queimada";"Avental de Borracha Carbonizado (Coleta T6 Armadura), Cápsula Química Ressecada";"Mola Industrial Queimada"
