"item";"classe";"slot";"familia";"tier";"raridade";"mapa";"materialPrincipal";"origemPrincipal";"qtdPrincipal";"materialSecundario";"origemSecundaria";"qtdSecundario";"materialTerciario";"origemTerciaria";"qtdTerciario";"biomaterial";"qtdBiomaterial";"residuo";"qtdResiduo";"motivo"
"Traje de Rua Rasgado";"Assassino";"ARMOR";"Traje";"1";"COMMON";"Subúrbio Silencioso";"Bolsa de Munição Rasgada";"PATRULHA";"60";"Placa de Walkie Quebrada";"TECNOVARREDURA";"30";"Placa de Portão Leve";"DESMANCHE";"30";"Biomaterial Torácico Comum";"9";"Resíduo Infecto Pálido";"16";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T1/Subúrbio Silencioso, alinhados a Traje, ARMOR e Assassino."
"Traje de Oficina Silencioso";"Assassino";"ARMOR";"Traje";"2";"COMMON";"Distrito da Ferrugem";"Bainha de Uniforme Escura";"PATRULHA";"60";"Rádio de Oficina Quebrado";"TECNOVARREDURA";"30";"Colete de Operário Gasto";"COLETA";"30";"Biomaterial Torácico Comum";"10";"Resíduo Infecto Pálido";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T2/Distrito da Ferrugem, alinhados a Traje, ARMOR e Assassino."
"Traje de Ala Isolada";"Assassino";"ARMOR";"Traje";"3";"UNCOMMON";"Hospital Santa Ruína";"Acolchoado de Maca (Patrulha T3 Pernas)";"PATRULHA";"68";"Monitor Portátil Quebrado";"TECNOVARREDURA";"34";"Avental Hospitalar Grosso";"COLETA";"33";"Biomaterial Torácico Incomum";"12";"Resíduo Infecto Amarelado";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T3/Hospital Santa Ruína, alinhados a Traje, ARMOR e Assassino."
"Traje de Terminal Oculto";"Assassino";"ARMOR";"Traje";"4";"UNCOMMON";"Terminal dos Esquecidos";"Porta-cartuchos de Bagagem";"PATRULHA";"68";"Leitor de Embarque Falho";"TECNOVARREDURA";"34";"Forro de Assento Rasgado";"COLETA";"33";"Biomaterial Torácico Incomum";"14";"Resíduo Infecto Amarelado";"24";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T4/Terminal dos Esquecidos, alinhados a Traje, ARMOR e Assassino."
"Traje de Quarentena Furtiva";"Assassino";"ARMOR";"Traje";"5";"RARE";"Zona de Quarentena 9";"Acolchoado Antimordida (Patrulha T5 Pernas)";"PATRULHA";"75";"Módulo de Alarme Verde";"TECNOVARREDURA";"38";"Colete Antimordida Rasgado";"COLETA";"37";"Biomaterial Torácico Raro";"16";"Resíduo Infecto Tóxico";"30";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T5/Zona de Quarentena 9, alinhados a Traje, ARMOR e Assassino."
"Traje de Refinaria Sombria";"Assassino";"ARMOR";"Traje";"6";"RARE";"Refinaria do Pó Cinzento";"Avental Antióleo Reforçado";"PATRULHA";"75";"Medidor de Pressão Queimado";"TECNOVARREDURA";"38";"Avental de Borracha Carbonizado (Coleta T6 Armadura)";"COLETA";"37";"Biomaterial Torácico Raro";"20";"Resíduo Infecto Tóxico";"40";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T6/Refinaria do Pó Cinzento, alinhados a Traje, ARMOR e Assassino."
"Traje Antimotim Sombrio";"Assassino";"ARMOR";"Traje";"7";"EPIC";"Avenida dos Caídos";"Colete Tático Rasgado (Patrulha T7 Armadura)";"PATRULHA";"83";"Placa de Sensor Roxa";"TECNOVARREDURA";"41";"Placa Antimotim Recortada (Desmanche T7 Armadura)";"DESMANCHE";"41";"Biomaterial Torácico Épico";"22";"Resíduo Infecto Mutagênico";"50";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T7/Avenida dos Caídos, alinhados a Traje, ARMOR e Assassino."
"Traje Helix de Infiltração";"Assassino";"ARMOR";"Traje";"8";"EPIC";"Complexo Helix";"Revestimento de Polímero Helix (Patrulha T8 Armadura)";"PATRULHA";"83";"Interface de Camuflagem Helix";"TECNOVARREDURA";"41";"Revestimento de Polímero Helix (Coleta T8 Armadura)";"COLETA";"41";"Biomaterial Torácico Épico";"28";"Resíduo Infecto Mutagênico";"60";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T8/Complexo Helix, alinhados a Traje, ARMOR e Assassino."
"Traje Titânico da Necrópole";"Assassino";"ARMOR";"Traje";"9";"LEGENDARY";"Necrópole Industrial";"Fibra de Compressão Pesada (Patrulha T9 Pés)";"PATRULHA";"90";"Núcleo Necrótico Carmesim";"TECNOVARREDURA";"45";"Malha de Fibra Pesada (Coleta T9 Armadura)";"COLETA";"45";"Biomaterial Torácico Lendário";"32";"Resíduo Infecto Saturado";"80";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T9/Necrópole Industrial, alinhados a Traje, ARMOR e Assassino."
"Traje da Ruína Silenciosa";"Assassino";"ARMOR";"Traje";"10";"LEGENDARY";"Marco Zero";"Envoltório de Fibra Escarlate";"PATRULHA";"90";"Núcleo de Ocultação Final";"TECNOVARREDURA";"45";"Manta de Fibra Rubra (Coleta T10 Armadura)";"COLETA";"45";"Biomaterial Torácico Lendário";"36";"Resíduo Infecto Saturado";"85";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T10/Marco Zero, alinhados a Traje, ARMOR e Assassino."
"Perneiras de Jeans Cortado";"Assassino";"PANTS";"Perneiras";"1";"COMMON";"Subúrbio Silencioso";"Retalho de Jeans Ajustado";"PATRULHA";"60";"Prego Afiado de Cerca";"ARSENAL";"30";"Retalho de Jeans Grosso";"COLETA";"30";"Biomaterial Articular Comum";"9";"Resíduo Infecto Pálido";"16";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T1/Subúrbio Silencioso, alinhados a Perneiras, PANTS e Assassino."
"Perneiras de Oficina Enferrujada";"Assassino";"PANTS";"Perneiras";"2";"COMMON";"Distrito da Ferrugem";"Bainha de Uniforme Escura";"PATRULHA";"60";"Ponta de Chave de Fenda";"ARSENAL";"30";"Bainha de Uniforme Gasta (Coleta T2 Pernas)";"COLETA";"30";"Biomaterial Articular Comum";"10";"Resíduo Infecto Pálido";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T2/Distrito da Ferrugem, alinhados a Perneiras, PANTS e Assassino."
"Perneiras de Maca Silenciosa";"Assassino";"PANTS";"Perneiras";"3";"UNCOMMON";"Hospital Santa Ruína";"Acolchoado de Maca Fino";"PATRULHA";"68";"Lâmina de Tesoura Clínica";"ARSENAL";"34";"Acolchoado de Maca (Coleta T3 Pernas)";"COLETA";"33";"Biomaterial Articular Incomum";"12";"Resíduo Infecto Amarelado";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T3/Hospital Santa Ruína, alinhados a Perneiras, PANTS e Assassino."
"Perneiras de Passageiro Oculto";"Assassino";"PANTS";"Perneiras";"4";"UNCOMMON";"Terminal dos Esquecidos";"Tapete de Embarque Desfiado (Patrulha T4 Pernas)";"PATRULHA";"68";"Ponta de Canivete Quebrado";"ARSENAL";"34";"Tapete de Embarque Desfiado (Coleta T4 Pernas)";"COLETA";"33";"Biomaterial Articular Incomum";"14";"Resíduo Infecto Amarelado";"24";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T4/Terminal dos Esquecidos, alinhados a Perneiras, PANTS e Assassino."
"Perneiras de Quarentena Leve";"Assassino";"PANTS";"Perneiras";"5";"RARE";"Zona de Quarentena 9";"Acolchoado Antimordida Leve";"PATRULHA";"75";"Dardo de Contenção Verde";"ARSENAL";"38";"Acolchoado Antimordida (Coleta T5 Pernas)";"COLETA";"37";"Biomaterial Articular Raro";"16";"Resíduo Infecto Tóxico";"30";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T5/Zona de Quarentena 9, alinhados a Perneiras, PANTS e Assassino."
"Perneiras de Cinza Industrial";"Assassino";"PANTS";"Perneiras";"6";"RARE";"Refinaria do Pó Cinzento";"Relé de Refinaria";"TECNOVARREDURA";"75";"Faca de Manutenção Queimada";"ARSENAL";"38";"Avental de Borracha Carbonizado (Coleta T6 Pernas)";"COLETA";"37";"Biomaterial Articular Raro";"20";"Resíduo Infecto Tóxico";"40";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T6/Refinaria do Pó Cinzento, alinhados a Perneiras, PANTS e Assassino."
"Perneiras de Patrulha Mutagênica";"Assassino";"PANTS";"Perneiras";"7";"EPIC";"Avenida dos Caídos";"Joelheira Tática Rasgada (Patrulha T7 Pernas)";"PATRULHA";"83";"Espinho Balístico Roxo";"ARSENAL";"41";"Joelheira Paramédica Rasgada";"COLETA";"41";"Biomaterial Articular Épico";"22";"Resíduo Infecto Mutagênico";"50";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T7/Avenida dos Caídos, alinhados a Perneiras, PANTS e Assassino."
"Perneiras Articuladas Helix";"Assassino";"PANTS";"Perneiras";"8";"EPIC";"Complexo Helix";"Polímero Articulado Silencioso";"PATRULHA";"83";"Microserra Helix (Arsenal T8 Pernas)";"ARSENAL";"41";"Atuador de Joelho Helix";"TECNOVARREDURA";"41";"Biomaterial Articular Épico";"28";"Resíduo Infecto Mutagênico";"60";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T8/Complexo Helix, alinhados a Perneiras, PANTS e Assassino."
"Perneiras Necróticas de Fibra";"Assassino";"PANTS";"Perneiras";"9";"LEGENDARY";"Necrópole Industrial";"Câmara de Movimento Carmesim";"TECNOVARREDURA";"90";"Lâmina Curva Carmesim";"ARSENAL";"45";"Trama de Fibra Pesada (Coleta T9 Pernas)";"COLETA";"45";"Biomaterial Articular Lendário";"32";"Resíduo Infecto Saturado";"80";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T9/Necrópole Industrial, alinhados a Perneiras, PANTS e Assassino."
"Perneiras do Marco Zero";"Assassino";"PANTS";"Perneiras";"10";"LEGENDARY";"Marco Zero";"Módulo de Passo Final";"TECNOVARREDURA";"90";"Ponta Rubra do Colapso";"ARSENAL";"45";"Fibra Rubra Articulada (Coleta T10 Pernas)";"COLETA";"45";"Biomaterial Articular Lendário";"36";"Resíduo Infecto Saturado";"85";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T10/Marco Zero, alinhados a Perneiras, PANTS e Assassino."
"Sapatilhas de Pano Escuro";"Assassino";"BOOTS";"Sapatilhas";"1";"COMMON";"Subúrbio Silencioso";"Sola de Tênis Gasto";"PATRULHA";"60";"Pilha de Lanterna Pequena";"TECNOVARREDURA";"30";"Palmilha Filtrante Suja";"CONTENCAO";"30";"Biomaterial de Mobilidade Comum";"9";"Resíduo Infecto Pálido";"16";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T1/Subúrbio Silencioso, alinhados a Sapatilhas, BOOTS e Assassino."
"Sapatilhas de Ferrugem Baixa";"Assassino";"BOOTS";"Sapatilhas";"2";"COMMON";"Distrito da Ferrugem";"Cadarço de Uniforme Gasto (Patrulha T2 Pés)";"PATRULHA";"60";"Sensor de Porta Oxidado";"TECNOVARREDURA";"30";"Cadarço de Uniforme Gasto (Coleta T2 Pés)";"COLETA";"30";"Biomaterial de Mobilidade Comum";"10";"Resíduo Infecto Pálido";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T2/Distrito da Ferrugem, alinhados a Sapatilhas, BOOTS e Assassino."
"Sapatilhas de Enfermaria Silenciosa";"Assassino";"BOOTS";"Sapatilhas";"3";"UNCOMMON";"Hospital Santa Ruína";"Cobertura Cirúrgica Rasgada (Patrulha T3 Pés)";"PATRULHA";"68";"Sensor de Oxímetro";"TECNOVARREDURA";"34";"Cobertura Cirúrgica Rasgada (Coleta T3 Pés)";"COLETA";"33";"Biomaterial de Mobilidade Incomum";"12";"Resíduo Infecto Amarelado";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T3/Hospital Santa Ruína, alinhados a Sapatilhas, BOOTS e Assassino."
"Sapatilhas de Esteira Quebrada";"Assassino";"BOOTS";"Sapatilhas";"4";"UNCOMMON";"Terminal dos Esquecidos";"Tapete de Piso Emborrachado (Patrulha T4 Pés)";"PATRULHA";"68";"Chip de Esteira de Bagagem";"TECNOVARREDURA";"34";"Manta Isolante de Cabine";"CONTENCAO";"33";"Biomaterial de Mobilidade Incomum";"14";"Resíduo Infecto Amarelado";"24";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T4/Terminal dos Esquecidos, alinhados a Sapatilhas, BOOTS e Assassino."
"Sapatilhas de Quarentena Selada";"Assassino";"BOOTS";"Sapatilhas";"5";"RARE";"Zona de Quarentena 9";"Atuador de Corte Sanitário";"TECNOVARREDURA";"75";"Detector de Gás Verde";"TECNOVARREDURA";"38";"Manguito Antimordida Leve (Coleta T5 Pés)";"COLETA";"37";"Biomaterial de Mobilidade Raro";"16";"Resíduo Infecto Tóxico";"30";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T5/Zona de Quarentena 9, alinhados a Sapatilhas, BOOTS e Assassino."
"Sapatilhas de Cinza Silenciosa";"Assassino";"BOOTS";"Sapatilhas";"6";"RARE";"Refinaria do Pó Cinzento";"Condensador de Choque Cinzento";"TECNOVARREDURA";"75";"Sensor de Vapor Cinzento";"TECNOVARREDURA";"38";"Sola de Borracha Vulcanizada (Coleta T6 Pés)";"COLETA";"37";"Biomaterial de Mobilidade Raro";"20";"Resíduo Infecto Tóxico";"40";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T6/Refinaria do Pó Cinzento, alinhados a Sapatilhas, BOOTS e Assassino."
"Sapatilhas de Asfalto Mutagênico";"Assassino";"BOOTS";"Sapatilhas";"7";"EPIC";"Avenida dos Caídos";"Microvisor de Campo Roxo";"TECNOVARREDURA";"83";"Módulo de Passo Instável";"TECNOVARREDURA";"41";"Reforço de Polímero de Tornozelo (Coleta T7 Pés)";"COLETA";"41";"Biomaterial de Mobilidade Épico";"22";"Resíduo Infecto Mutagênico";"50";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T7/Avenida dos Caídos, alinhados a Sapatilhas, BOOTS e Assassino."
"Sapatilhas de Tração Helix";"Assassino";"BOOTS";"Sapatilhas";"8";"EPIC";"Complexo Helix";"Atuador de Dosagem Helix";"TECNOVARREDURA";"83";"Atuador de Tração Helix";"TECNOVARREDURA";"41";"Cartucho Cerâmico Helix";"CONTENCAO";"41";"Biomaterial de Mobilidade Épico";"28";"Resíduo Infecto Mutagênico";"60";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T8/Complexo Helix, alinhados a Sapatilhas, BOOTS e Assassino."
"Sapatilhas de Passo Carmesim";"Assassino";"BOOTS";"Sapatilhas";"9";"LEGENDARY";"Necrópole Industrial";"Condutor Carmesim de Choque";"TECNOVARREDURA";"90";"Selo de Marcha Carmesim (Tecnovarredura T9 Pés)";"TECNOVARREDURA";"45";"Calcanhar Titânico Industrial";"DESMANCHE";"45";"Biomaterial de Mobilidade Lendário";"32";"Resíduo Infecto Saturado";"80";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T9/Necrópole Industrial, alinhados a Sapatilhas, BOOTS e Assassino."
"Sapatilhas do Eclipse Rubro";"Assassino";"BOOTS";"Sapatilhas";"10";"LEGENDARY";"Marco Zero";"Atuador Rubro de Dose Final";"TECNOVARREDURA";"90";"Célula Rubra de Silêncio";"TECNOVARREDURA";"45";"Solado Titânico do Marco";"DESMANCHE";"45";"Biomaterial de Mobilidade Lendário";"36";"Resíduo Infecto Saturado";"85";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T10/Marco Zero, alinhados a Sapatilhas, BOOTS e Assassino."
"Serra de Emergência Quebrada";"Médico";"MAIN_HAND";"Serra";"1";"COMMON";"Subúrbio Silencioso";"Motor de Cortador Quebrado";"TECNOVARREDURA";"60";"Antisséptico Vencido";"CONTENCAO";"30";"Bateria de Rádio Quebrada";"TECNOVARREDURA";"30";"Biomaterial Cortante Comum";"9";"Resíduo Infecto Pálido";"16";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T1/Subúrbio Silencioso, alinhados a Serra, MAIN_HAND e Médico."
"Desfibrilador de Rádio Improvisado";"Médico";"MAIN_HAND";"Desfibrilador";"1";"COMMON";"Subúrbio Silencioso";"Bateria de Rádio Quebrada";"TECNOVARREDURA";"60";"Eletrodo de Borracha Sujo";"CONTENCAO";"30";"Cabo de Madeira Cravado";"DESMANCHE";"30";"Biomaterial Cortante Comum";"9";"Resíduo Infecto Pálido";"16";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T1/Subúrbio Silencioso, alinhados a Desfibrilador, MAIN_HAND e Médico."
"Serra de Oficina Médica Oxidada";"Médico";"MAIN_HAND";"Serra";"2";"COMMON";"Distrito da Ferrugem";"Módulo de Serra Oxidado";"TECNOVARREDURA";"60";"Cartucho Filtrante Oxidado (Contenção T2 Main Hand)";"CONTENCAO";"30";"Lâmina de Serra Enferrujada";"ARSENAL";"30";"Biomaterial Cortante Comum";"10";"Resíduo Infecto Pálido";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T2/Distrito da Ferrugem, alinhados a Serra, MAIN_HAND e Médico."
"Desfibrilador de Bobina Enferrujada";"Médico";"MAIN_HAND";"Desfibrilador";"2";"COMMON";"Distrito da Ferrugem";"Bobina de Choque Oxidada";"TECNOVARREDURA";"60";"Isolador de Oficina";"CONTENCAO";"30";"Placa de Oficina Recortada";"DESMANCHE";"30";"Biomaterial Cortante Comum";"10";"Resíduo Infecto Pálido";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T2/Distrito da Ferrugem, alinhados a Desfibrilador, MAIN_HAND e Médico."
"Serra Cirúrgica de Triagem";"Médico";"MAIN_HAND";"Serra";"3";"UNCOMMON";"Hospital Santa Ruína";"Motor Cirúrgico Quebrado";"TECNOVARREDURA";"68";"Selo de Isolamento Clínico";"CONTENCAO";"34";"Pontas de Tesoura Cirúrgica";"ARSENAL";"33";"Biomaterial Cortante Incomum";"12";"Resíduo Infecto Amarelado";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T3/Hospital Santa Ruína, alinhados a Serra, MAIN_HAND e Médico."
"Desfibrilador de Leito Clínico";"Médico";"MAIN_HAND";"Desfibrilador";"3";"UNCOMMON";"Hospital Santa Ruína";"Placa de Desfibrilador Rachada";"TECNOVARREDURA";"68";"Gel Condutor Vencido";"CONTENCAO";"34";"Pé de Suporte Clínico";"DESMANCHE";"33";"Biomaterial Cortante Incomum";"12";"Resíduo Infecto Amarelado";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T3/Hospital Santa Ruína, alinhados a Desfibrilador, MAIN_HAND e Médico."
"Serra de Resgate do Terminal";"Médico";"MAIN_HAND";"Serra";"4";"UNCOMMON";"Terminal dos Esquecidos";"Motor de Porta Automática";"TECNOVARREDURA";"68";"Isolante de Painel Sanitário";"CONTENCAO";"34";"Canivetes de Bagagem";"ARSENAL";"33";"Biomaterial Cortante Incomum";"14";"Resíduo Infecto Amarelado";"24";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T4/Terminal dos Esquecidos, alinhados a Serra, MAIN_HAND e Médico."
"Desfibrilador de Cabine de Emergência";"Médico";"MAIN_HAND";"Desfibrilador";"4";"UNCOMMON";"Terminal dos Esquecidos";"Capacitor de Cabine";"TECNOVARREDURA";"68";"Lacre de Maleta Médica";"CONTENCAO";"34";"Placa de Sinalização Cortante";"ARSENAL";"33";"Biomaterial Cortante Incomum";"14";"Resíduo Infecto Amarelado";"24";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T4/Terminal dos Esquecidos, alinhados a Desfibrilador, MAIN_HAND e Médico."
"Serra de Contenção Verde";"Médico";"MAIN_HAND";"Serra";"5";"RARE";"Zona de Quarentena 9";"Atuador de Corte Sanitário";"TECNOVARREDURA";"75";"Ampola Selante Verde";"CONTENCAO";"38";"Bateria de Choque Verde";"TECNOVARREDURA";"37";"Biomaterial Cortante Raro";"16";"Resíduo Infecto Tóxico";"30";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T5/Zona de Quarentena 9, alinhados a Serra, MAIN_HAND e Médico."
"Desfibrilador de Quarentena";"Médico";"MAIN_HAND";"Desfibrilador";"5";"RARE";"Zona de Quarentena 9";"Bateria de Choque Verde";"TECNOVARREDURA";"75";"Gel Condutor Tóxico";"CONTENCAO";"38";"Placa de Porta Selada";"DESMANCHE";"37";"Biomaterial Cortante Raro";"16";"Resíduo Infecto Tóxico";"30";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T5/Zona de Quarentena 9, alinhados a Desfibrilador, MAIN_HAND e Médico."
"Serra de Cautério Cinzento";"Médico";"MAIN_HAND";"Serra";"6";"RARE";"Refinaria do Pó Cinzento";"Motor de Cautério Industrial";"TECNOVARREDURA";"75";"Pasta Isolante Cinzenta";"CONTENCAO";"38";"Chapa de Caldeira Serrada";"DESMANCHE";"37";"Biomaterial Cortante Raro";"20";"Resíduo Infecto Tóxico";"40";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T6/Refinaria do Pó Cinzento, alinhados a Serra, MAIN_HAND e Médico."
"Desfibrilador de Vapor Cinzento";"Médico";"MAIN_HAND";"Desfibrilador";"6";"RARE";"Refinaria do Pó Cinzento";"Condensador de Choque Cinzento";"TECNOVARREDURA";"75";"Selo Químico de Vapor";"CONTENCAO";"38";"Luva de Borracha Queimada";"PATRULHA";"37";"Biomaterial Cortante Raro";"20";"Resíduo Infecto Tóxico";"40";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T6/Refinaria do Pó Cinzento, alinhados a Desfibrilador, MAIN_HAND e Médico."
"Serra de Resgate Mutagênica";"Médico";"MAIN_HAND";"Serra";"7";"EPIC";"Avenida dos Caídos";"Motor de Resgate Blindado";"TECNOVARREDURA";"83";"Cápsula Cerâmica Roxa";"CONTENCAO";"41";"Placa Antimotim Recortada (Desmanche T7 Main Hand)";"DESMANCHE";"41";"Biomaterial Cortante Épico";"22";"Resíduo Infecto Mutagênico";"50";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T7/Avenida dos Caídos, alinhados a Serra, MAIN_HAND e Médico."
"Desfibrilador Antimotim";"Médico";"MAIN_HAND";"Desfibrilador";"7";"EPIC";"Avenida dos Caídos";"Núcleo de Choque Policial";"TECNOVARREDURA";"83";"Selo Balístico Instável";"CONTENCAO";"41";"Placa Antimotim Recortada (Desmanche T7 Main Hand)";"DESMANCHE";"41";"Biomaterial Cortante Épico";"22";"Resíduo Infecto Mutagênico";"50";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T7/Avenida dos Caídos, alinhados a Desfibrilador, MAIN_HAND e Médico."
"Serra Helix de Microcorte";"Médico";"MAIN_HAND";"Serra";"8";"EPIC";"Complexo Helix";"Microserra Helix (Tecnovarredura T8 Main Hand)";"TECNOVARREDURA";"83";"Cápsula de Contenção Helix (Contenção T8 Main Hand)";"CONTENCAO";"41";"Trama de Polímero Helix (Coleta T8 Main Hand)";"COLETA";"41";"Biomaterial Cortante Épico";"28";"Resíduo Infecto Mutagênico";"60";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T8/Complexo Helix, alinhados a Serra, MAIN_HAND e Médico."
"Desfibrilador Neural Helix";"Médico";"MAIN_HAND";"Desfibrilador";"8";"EPIC";"Complexo Helix";"Atuador Neural de Choque";"TECNOVARREDURA";"83";"Módulo Cerâmico Helix (Contenção T8 Main Hand)";"CONTENCAO";"41";"Trama de Polímero Helix (Patrulha T8 Main Hand)";"PATRULHA";"41";"Biomaterial Cortante Épico";"28";"Resíduo Infecto Mutagênico";"60";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T8/Complexo Helix, alinhados a Desfibrilador, MAIN_HAND e Médico."
"Serra Necroclínica Carmesim";"Médico";"MAIN_HAND";"Serra";"9";"LEGENDARY";"Necrópole Industrial";"Rotor Titânico Clínico";"TECNOVARREDURA";"90";"Núcleo de Vedação Carmesim";"CONTENCAO";"45";"Cano Titânico Carmesim";"ARSENAL";"45";"Biomaterial Cortante Lendário";"32";"Resíduo Infecto Saturado";"80";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T9/Necrópole Industrial, alinhados a Serra, MAIN_HAND e Médico."
"Desfibrilador Carmesim da Necrópole";"Médico";"MAIN_HAND";"Desfibrilador";"9";"LEGENDARY";"Necrópole Industrial";"Condutor Carmesim de Choque";"TECNOVARREDURA";"90";"Câmara Necrótica Selada";"CONTENCAO";"45";"Placa Titânica Cortante";"DESMANCHE";"45";"Biomaterial Cortante Lendário";"32";"Resíduo Infecto Saturado";"80";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T9/Necrópole Industrial, alinhados a Desfibrilador, MAIN_HAND e Médico."
"Serra do Marco Zero";"Médico";"MAIN_HAND";"Serra";"10";"LEGENDARY";"Marco Zero";"Lâmina Rubra de Microcorte";"TECNOVARREDURA";"90";"Núcleo Rubro de Esterilização (Contenção T10 Main Hand)";"CONTENCAO";"45";"Manta de Fibra Saturada (Coleta T10 Main Hand)";"COLETA";"45";"Biomaterial Cortante Lendário";"36";"Resíduo Infecto Saturado";"85";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T10/Marco Zero, alinhados a Serra, MAIN_HAND e Médico."
"Desfibrilador do Último Pulso";"Médico";"MAIN_HAND";"Desfibrilador";"10";"LEGENDARY";"Marco Zero";"Lâmina Rubra de Microcorte";"TECNOVARREDURA";"90";"Selo Final de Contenção";"CONTENCAO";"45";"Trança de Fibra Escarlate (Coleta T10 Main Hand)";"COLETA";"45";"Biomaterial Cortante Lendário";"36";"Resíduo Infecto Saturado";"85";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T10/Marco Zero, alinhados a Desfibrilador, MAIN_HAND e Médico."
"Injetor de Soro Rachado";"Médico";"OFF_HAND";"Injetor";"1";"COMMON";"Subúrbio Silencioso";"Circuito de Lanterna Quebrado";"TECNOVARREDURA";"60";"Ampola Vazia Suja";"CONTENCAO";"30";"Pente de Munição Velho";"ARSENAL";"30";"Biomaterial Reativo Comum";"9";"Resíduo Infecto Pálido";"16";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T1/Subúrbio Silencioso, alinhados a Injetor, OFF_HAND e Médico."
"Injetor de Oficina Oxidado";"Médico";"OFF_HAND";"Injetor";"2";"COMMON";"Distrito da Ferrugem";"Gatilho de Alarme Oxidado";"TECNOVARREDURA";"60";"Ampola Selante Oxidada";"CONTENCAO";"30";"Mola de Carregador Oxidada";"ARSENAL";"30";"Biomaterial Reativo Comum";"10";"Resíduo Infecto Pálido";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T2/Distrito da Ferrugem, alinhados a Injetor, OFF_HAND e Médico."
"Injetor de Triagem Clínica";"Médico";"OFF_HAND";"Injetor";"3";"UNCOMMON";"Hospital Santa Ruína";"Acolchoado de Maca (Coleta T3 Pernas)";"COLETA";"68";"Lacre Estéril Amarelado";"CONTENCAO";"34";"Frasco de Anestésico Vazio";"ARSENAL";"33";"Biomaterial Reativo Incomum";"12";"Resíduo Infecto Amarelado";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T3/Hospital Santa Ruína, alinhados a Injetor, OFF_HAND e Médico."
